state,puma2k,puma12,stab,PUMAname,PUMA2kName,pop10,afact,AFACT2
1,100,100,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100,147137,1,0.788
1,200,200,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200,8118,0.047,0.047
1,200,301,AL,Huntsville (North) & Madison (East) Cities,100200,55068,0.317,0.463
1,200,302,AL,Huntsville City (Central & South),100200,100748,0.58,0.992
1,200,500,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100200,9698,0.056,0.082
1,300,200,AL,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100300,163703,0.671,0.953
1,300,301,AL,Huntsville (North) & Madison (East) Cities,100300,63856,0.262,0.537
1,300,302,AL,Huntsville City (Central & South),100300,774,0.003,0.008
1,300,500,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100300,15628,0.064,0.132
1,400,400,AL,DeKalb & Jackson Counties,100400,124336,1,1
1,500,500,AL,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500,93019,0.47,0.786
1,500,700,AL,Cullman & Winston Counties,100500,104890,0.53,1
1,600,600,AL,Morgan & Lawrence Counties--Decatur City,100600,153829,1,1
1,700,100,AL,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100700,39558,0.31,0.212
1,700,1400,AL,"Walker, Marion (South & West), Fayette & Lamar Counties",100700,54727,0.428,0.45
1,700,1500,AL,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),100700,19746,0.155,0.19
1,700,1700,AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",100700,13763,0.108,0.101
1,800,800,AL,St. Clair & Blount Counties,100800,140915,0.678,1
1,800,1400,AL,"Walker, Marion (South & West), Fayette & Lamar Counties",100800,67023,0.322,0.55
1,901,1302,AL,Birmingham City (East),100901,89623,1,0.878
1,901,1303,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",100901,2,0,0
1,902,1301,AL,Birmingham City (West),100902,100833,1,1
1,903,1302,AL,Birmingham City (East),100903,14,0,0
1,903,1303,AL,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",100903,170143,1,1
1,904,1302,AL,Birmingham City (East),100904,12461,0.067,0.122
1,904,1304,AL,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",100904,174673,0.933,1
1,905,1305,AL,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",100905,110717,1,1
1,1000,900,AL,Etowah County,101000,104430,1,1
1,1100,1000,AL,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101100,160097,1,1
1,1100,1100,AL,Calhoun County,101100,4,0,0
1,1200,1100,AL,Calhoun County,101200,118568,1,1
1,1300,1200,AL,Shelby County,101300,195085,1,1
1,1400,1500,AL,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),101400,84027,0.432,0.81
1,1400,1600,AL,Tuscaloosa & Northport (Southeast) Cities,101400,110629,0.568,1
1,1500,1700,AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101500,123157,1,0.899
1,1600,1800,AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",101600,130983,1,1
1,1700,1900,AL,Lee County--Auburn City,101700,140182,1,1
1,1700,2400,AL,"Russell, Pike, Barbour, Macon & Bullock Counties",101700,2,0,0
1,1800,1800,AL,"Chilton, Tallapoosa, Chambers & Coosa Counties",101800,30,0,0
1,1800,1900,AL,Lee County--Auburn City,101800,65,0,0
1,1800,2300,AL,"Coffee, Covington, Butler & Crenshaw Counties",101800,34853,0.176,0.284
1,1800,2400,AL,"Russell, Pike, Barbour, Macon & Bullock Counties",101800,145667,0.736,1
1,1800,2500,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",101800,17302,0.087,0.088
1,1900,2000,AL,Montgomery City & Pike Road Town (North),101900,190233,0.93,0.968
1,1900,2100,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",101900,14414,0.07,0.081
1,2000,2000,AL,Montgomery City & Pike Road Town (North),102000,6301,0.04,0.032
1,2000,2100,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102000,152289,0.96,0.856
1,2100,1700,AL,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",102100,1,0,0
1,2100,2100,AL,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100,11299,0.073,0.063
1,2100,2200,AL,Southwest Alabama,102100,143558,0.927,1
1,2200,2701,AL,Mobile City (East),102200,90451,0.475,0.817
1,2200,2702,AL,Mobile City (West),102200,96985,0.509,0.904
1,2200,2703,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102200,2934,0.015,0.015
1,2300,2701,AL,Mobile City (East),102300,20314,0.091,0.183
1,2300,2702,AL,Mobile City (West),102300,10300,0.046,0.096
1,2300,2703,AL,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102300,192008,0.862,0.985
1,2400,2600,AL,Baldwin County,102400,182265,1,1
1,2500,2300,AL,"Coffee, Covington, Butler & Crenshaw Counties",102500,87713,0.766,0.716
1,2500,2500,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",102500,26786,0.234,0.137
1,2600,2500,AL,"Houston, Dale, Geneva & Henry Counties--Dothan City",102600,151802,1,0.775
2,101,101,AK,Anchorage Municipality (North),200101,132542,1,1
2,102,102,AK,Anchorage Municipality (South),200102,159284,1,1
2,200,200,AK,Matanuska-Susitna & Kenai Peninsula Boroughs,200200,144395,1,1
2,300,300,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300,163327,0.948,0.994
2,300,400,AK,Subsistence Alaska,200300,8881,0.052,0.081
2,400,300,AK,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200400,973,0.01,0.006
2,400,400,AK,Subsistence Alaska,200400,100829,0.99,0.919
4,101,129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,400101,2259,0.016,0.021
4,101,130,AZ,Maricopa County--El Mirage City & Sun City,400101,75717,0.524,0.651
4,101,131,AZ,Maricopa County--Surprise City (Central),400101,27457,0.19,0.265
4,101,134,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),400101,39106,0.271,0.356
4,102,127,AZ,Maricopa County--Peoria City (South & Central),400102,110162,0.753,0.971
4,102,129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,400102,33160,0.227,0.313
4,102,130,AZ,Maricopa County--El Mirage City & Sun City,400102,2886,0.02,0.025
4,103,112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400103,21,0,0
4,103,125,AZ,Phoenix City (West),400103,61676,0.263,0.605
4,103,126,AZ,Maricopa County--Glendale City (North),400103,3124,0.013,0.026
4,103,128,AZ,Phoenix City (North),400103,103065,0.439,1
4,103,129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,400103,66904,0.285,0.632
4,104,112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400104,51916,0.255,0.492
4,104,113,AZ,Phoenix City (Northeast),400104,57994,0.285,0.568
4,104,114,AZ,Phoenix City (Northeast Central),400104,46022,0.226,0.444
4,104,115,AZ,Phoenix City (Northwest Central),400104,43878,0.216,0.431
4,104,129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,400104,3495,0.017,0.033
4,105,110,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400105,33777,0.193,0.289
4,105,111,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400105,87896,0.502,0.838
4,105,112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400105,53541,0.306,0.508
4,106,110,AZ,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400106,83181,0.83,0.711
4,106,111,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400106,16981,0.17,0.162
4,107,113,AZ,Phoenix City (Northeast),400107,44195,0.315,0.432
4,107,114,AZ,Phoenix City (Northeast Central),400107,44883,0.32,0.433
4,107,115,AZ,Phoenix City (Northwest Central),400107,44822,0.319,0.44
4,107,116,AZ,Phoenix City (Uptown),400107,6419,0.046,0.064
4,108,126,AZ,Maricopa County--Glendale City (North),400108,113505,1,0.932
4,109,124,AZ,Maricopa County--Glendale City (South),400109,100367,0.587,1
4,109,126,AZ,Maricopa County--Glendale City (North),400109,5212,0.03,0.043
4,109,127,AZ,Maricopa County--Peoria City (South & Central),400109,3285,0.019,0.029
4,109,130,AZ,Maricopa County--El Mirage City & Sun City,400109,29812,0.174,0.257
4,109,132,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400109,28101,0.164,0.274
4,109,133,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400109,4277,0.025,0.041
4,110,121,AZ,Phoenix (Southwest) & Tolleson Cities,400110,21087,0.062,0.17
4,110,130,AZ,Maricopa County--El Mirage City & Sun City,400110,7807,0.023,0.067
4,110,131,AZ,Maricopa County--Surprise City (Central),400110,76083,0.225,0.735
4,110,132,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",400110,74470,0.22,0.726
4,110,133,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,400110,88197,0.261,0.848
4,110,134,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),400110,70776,0.209,0.644
4,111,121,AZ,Phoenix (Southwest) & Tolleson Cities,400111,6545,0.036,0.053
4,111,122,AZ,Phoenix City--Maryvale (East),400111,44963,0.247,0.431
4,111,123,AZ,Phoenix City--Maryvale (West),400111,84198,0.463,0.777
